Brand;Merk;Dimension;Weight;build;Type;Size;Resolution;OS;Chipset;CPU;RAM;ROM;Camera;Type2;Video;Camera3;Video5;USB;Capacity;Price
ASUS;Zenfone 10;146.5 x 68.1 x 9.4 ;172;ALUMUNIUM FRAME, PLASTIC BACK;SUPER AMOLED;84.6;1080 x 2400;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;8;128;50;DUAL;8k 24fps, 4k 30/60fps;32;1080p 30fps;USB Type-C 2.0;4300;8999000
ASUS;Zenfone 10;146.5 x 68.1 x 9.4 ;172;ALUMUNIUM FRAME, PLASTIC BACK;SUPER AMOLED;84.6;1080 x 2400;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;16;512;50;DUAL;8k 24fps, 4k 30/60fps;32;1080p 30fps;USB Type-C 2.0;4300;11999000
ASUS;ROG Phone 7 Ultimate;173 x 77 x 10.3;239;ALUMUNIUM FRAME, GLASS BACK;AMOLED;109.5;1080 x 2448;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;16;512;50;TRIPLE;8k 24fps, 4k 30/60fps, 1080p 30/60/120/240fps;32;1080p 30fps;USB Type-C 3.1;6000;23499000
ASUS;ROG Phone 7;173 x 77 x 10.3;239;ALUMUNIUM FRAME, GLASS BACK;AMOLED;109.5;1080 x 2448;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;12;256;50;TRIPLE;8k 24fps, 4k 30/60fps, 1080p 30/60/120/240fps;32;1080p 30fps;USB Type-C 3.1;6000;13499000
ASUS;ROG Phone 7;173 x 77 x 10.3;239;ALUMUNIUM FRAME, GLASS BACK;AMOLED;109.5;1080 x 2448;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;16;512;50;TRIPLE;8k 24fps, 4k 30/60fps, 1080p 30/60/120/240fps;32;1080p 30fps;USB Type-C 3.1;6000;26990000
APPLE;Iphone 15 Pro Max;159.9 x 76.7 x 8.3;221;TITANIUM FRAME, GLASS BACK;Super Retina XDR OLED;110.2;1290 x 2796;iOS 17;Apple A17 Pro;HEXA-CORE;8;256;48;TRIPLE;4k 24/25/30/60fps, 1080p 30/60/120/240fps;12;4k 24/25/30/60fps, 1080p 30/60/120/240fps;USB Type-C 3.2 Gen 2;4441;22999000
APPLE;Iphone 15 Pro Max;159.9 x 76.7 x 8.3;221;TITANIUM FRAME, GLASS BACK;Super Retina XDR OLED;110.2;1290 x 2796;iOS 17;Apple A17 Pro;HEXA-CORE;8;512;48;TRIPLE;4k 24/25/30/60fps, 1080p 30/60/120/240fps;12;4k 24/25/30/60fps, 1080p 30/60/120/240fps;USB Type-C 3.2 Gen 2;4441;27999000
APPLE;Iphone 15 Pro Max;159.9 x 76.7 x 8.3;221;TITANIUM FRAME, GLASS BACK;Super Retina XDR OLED;110.2;1290 x 2796;iOS 17;Apple A17 Pro;HEXA-CORE;8;1000;48;TRIPLE;4k 24/25/30/60fps, 1080p 30/60/120/240fps;12;4k 24/25/30/60fps, 1080p 30/60/120/240fps;USB Type-C 3.2 Gen 2;4441;31999000
APPLE;Iphone 15 Pro;146.6 x 70.6 x 8.3;187;TITANIUM FRAME, GLASS BACK;Super Retina XDR OLED;91.3;1179 x 2556;iOS 17;Apple A17 Pro;HEXA-CORE;8;128;48;TRIPLE;4k 24/25/30/60fps, 1080p 30/60/120/240fps;12;4k 24/25/30/60fps, 1080p 30/60/120/240fps;USB Type-C 3.2 Gen 2;3274;18999000
APPLE;Iphone 15 Pro;146.6 x 70.6 x 8.3;187;TITANIUM FRAME, GLASS BACK;Super Retina XDR OLED;91.3;1179 x 2556;iOS 17;Apple A17 Pro;HEXA-CORE;8;256;48;TRIPLE;4k 24/25/30/60fps, 1080p 30/60/120/240fps;12;4k 24/25/30/60fps, 1080p 30/60/120/240fps;USB Type-C 3.2 Gen 2;3274;21999000
